강수분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 서울
기간 : 20240101~20241231

날짜,지점,강수량(mm)
2024-01-01,108,0
2024-01-02,108,0
2024-01-03,108,0.6
2024-01-04,108,
2024-01-05,108,0
2024-01-06,108,2.4
2024-01-07,108,
2024-01-08,108,
2024-01-09,108,1.6
2024-01-10,108,
2024-01-11,108,
2024-01-12,108,
2024-01-13,108,
2024-01-14,108,3.1
2024-01-15,108,
2024-01-16,108,
2024-01-17,108,9.7
2024-01-18,108,0.5
2024-01-19,108,
2024-01-20,108,0.4
2024-01-21,108,0.4
2024-01-22,108,0.2
2024-01-23,108,
2024-01-24,108,
2024-01-25,108,
2024-01-26,108,
2024-01-27,108,
2024-01-28,108,
2024-01-29,108,
2024-01-30,108,
2024-01-31,108,
2024-02-01,108,
2024-02-02,108,
2024-02-03,108,0
2024-02-04,108,
2024-02-05,108,3.9
2024-02-06,108,0.2
2024-02-07,108,0
2024-02-08,108,
2024-02-09,108,
2024-02-10,108,
2024-02-11,108,0
2024-02-12,108,
2024-02-13,108,
2024-02-14,108,
2024-02-15,108,10.9
2024-02-16,108,
2024-02-17,108,
2024-02-18,108,17.1
2024-02-19,108,8.9
2024-02-20,108,2.6
2024-02-21,108,17.8
2024-02-22,108,8.8
2024-02-23,108,0.4
2024-02-24,108,2.3
2024-02-25,108,1.8
2024-02-26,108,
2024-02-27,108,
2024-02-28,108,
2024-02-29,108,
2024-03-01,108,
2024-03-02,108,0
2024-03-03,108,
2024-03-04,108,
2024-03-05,108,
2024-03-06,108,
2024-03-07,108,2.1
2024-03-08,108,
2024-03-09,108,
2024-03-10,108,
2024-03-11,108,
2024-03-12,108,2.1
2024-03-13,108,
2024-03-14,108,
2024-03-15,108,
2024-03-16,108,
2024-03-17,108,0.1
2024-03-18,108,
2024-03-19,108,0.2
2024-03-20,108,
2024-03-21,108,
2024-03-22,108,5.4
2024-03-23,108,0.1
2024-03-24,108,
2024-03-25,108,5.1
2024-03-26,108,11.5
2024-03-27,108,
2024-03-28,108,1.9
2024-03-29,108,1.4
2024-03-30,108,
2024-03-31,108,
2024-04-01,108,
2024-04-02,108,
2024-04-03,108,0
2024-04-04,108,
2024-04-05,108,
2024-04-06,108,
2024-04-07,108,
2024-04-08,108,
