trdar_no,trdar_nm,signgu_cd,signgu_nm,link_cnt,minm_road_cfi,max_road_cfi,ave_road_cfi,trdar_dgrm_crdnt
10000,지행역,41250,동두천시,23,20,100,56.0,"MULTIPOLYGON(((127.052538180246 37.8933375239949,127.052532495851 37.8933375264661,127.052407386287 37.8932610008753,127.052252639451 37.8914186450238,127.052371890532 37.8912474147276,127.054747867778 37.8912013141324,127.054867295298 37.8912823445479,127.054896685313 37.8926202275621,127.054948249268 37.8931787870087,127.054783467287 37.8932689559197,127.052538180246 37.8933375239949)))"
10001,전곡터미널,41800,연천군,23,2,100,62.6,"MULTIPOLYGON(((127.065940174241 38.0277023547394,127.06593733477 38.0277113654934,127.066283719288 38.0265827730266,127.066820370834 38.0249022601565,127.067365594092 38.0232825516611,127.067593397145 38.0233117034593,127.070131094668 38.0242021573639,127.069696225711 38.0250199957233,127.069355093834 38.025605791362,127.069264254693 38.025903147369,127.069224498314 38.0260180375839,127.069210324059 38.0260856147403,127.069953683804 38.0263104133209,127.069845760097 38.0266055274079,127.069646875082 38.0270673643605,127.069290868351 38.0269729740412,127.069029512842 38.0276262913831,127.068705602643 38.028380997346,127.067036602462 38.0279112111438,127.065940174241 38.0277023547394)))"
10002,가능역,41150,의정부시,2,35,45,40.0,"MULTIPOLYGON(((127.042767775045 37.7478512449021,127.043113848293 37.7478601324552,127.043406024471 37.7478667858223,127.043417261361 37.7476730748839,127.043573277891 37.7476775239303,127.043590154263 37.7474252483865,127.044242583242 37.7474407796982,127.044378466696 37.7469677248511,127.044826651977 37.7469743176634,127.044673802902 37.7475352231049,127.044583181942 37.7477942830794,127.044540692803 37.7478979093328,127.044049915069 37.7478260110904,127.044010291524 37.7479814414543,127.0439564756 37.748121110088,127.043797843977 37.7485063287203,127.0437496826 37.7486144615299,127.043636372765 37.748889295727,127.043602362241 37.7489411132511,127.043585348643 37.7489523813753,127.043250618188 37.748945743585,127.042697464508 37.7489391816415,127.042739693462 37.7483625509332,127.042767775045 37.7478512449021)))"
10003,경기도청북부청사역_1,41150,의정부시,10,18,72,43.5,"MULTIPOLYGON(((127.071360514471 37.750396465672,127.070100737725 37.7501021420292,127.069107669823 37.7498617096368,127.069062198494 37.7497693871528,127.069257446952 37.7492399596181,127.069492321157 37.7486181601885,127.06957173709 37.7486068522311,127.070144865877 37.7487416635131,127.072170711163 37.7492359931256,127.072806278135 37.749393277975,127.072591268898 37.749997052673,127.072364924329 37.7506166005805,127.072330900794 37.7506346403091,127.071360514471 37.750396465672)))"
10004,경기도청북부청사역_2,41150,의정부시,21,27,100,72.3,"MULTIPOLYGON(((127.070985995273 37.7533473371302,127.069967343478 37.753100170031,127.069065081709 37.7529340138592,127.067867807719 37.7527815320259,127.068595244002 37.7509859530783,127.068691672853 37.7509633739884,127.069307385915 37.751116184186,127.07013022621 37.7513139185904,127.070172858883 37.7514017374854,127.071866797006 37.7518151788115,127.071759279116 37.7521103080343,127.071507453703 37.7527974414129,127.071411148612 37.7529529145572,127.071578563433 37.7529978630198,127.071408789544 37.7534597068117,127.070985995273 37.7533473371302)))"
10005,의정부역_1,41150,의정부시,12,28,65,38.1,"MULTIPOLYGON(((127.042351118539 37.7381570265149,127.041273324866 37.7381258625953,127.039906226182 37.7380790168964,127.039849470833 37.7380204727815,127.039854913601 37.7375767462331,127.039900276976 37.737545197671,127.041244668726 37.7375785366693,127.041420518783 37.7375852342768,127.041423282197 37.7374500887315,127.041434397667 37.7370243794241,127.041434283555 37.7368126528916,127.041482481995 37.7367811027531,127.041967478704 37.7367921987514,127.042880758545 37.7368324240318,127.042937067001 37.7360891087237,127.042993755201 37.7360260212201,127.043058987186 37.7360259981659,127.043180994576 37.7361183037857,127.043169853776 37.7364809458367,127.043144609058 37.7369809898934,127.043119403221 37.7375508586013,127.043105396581 37.7378616961442,127.043094186887 37.7381027079736,127.043017647192 37.7381725597493,127.042351118539 37.7381570265149)))"
10006,의정부역_2,41150,의정부시,13,28,65,38.2,"MULTIPOLYGON(((127.043852288868 37.7395417268914,127.043838158808 37.7396318283552,127.043776308687 37.7405936293063,127.043226048395 37.7405780591411,127.043338376743 37.7385846369684,127.043355346023 37.7384990393564,127.043411955446 37.7382940498902,127.043420339355 37.7380733107358,127.043459610702 37.7373029724912,127.043504484688 37.7364110019638,127.043521297471 37.7360506102597,127.043575169435 37.7360235620541,127.043759524541 37.7360302531291,127.04373706365 37.7364311902876,127.044054723247 37.7364423377297,127.044800652816 37.7364623369304,127.045373573823 37.7364801437168,127.045401963745 37.7365274337342,127.045368094744 37.7368067452711,127.045317126981 37.7369486661356,127.045297405291 37.7371716621017,127.045252198675 37.7374644922604,127.045221139681 37.7377010068748,127.045405489753 37.7376919285044,127.0452051862 37.7395051929443,127.043852288868 37.7395417268914)))"
10007,젊음의거리_1,41150,의정부시,12,35,87,58.2,"MULTIPOLYGON(((127.050033287125 37.7362530709516,127.050439167365 37.7367168992279,127.050705962934 37.737007348783,127.051023505659 37.7368382846727,127.051037679154 37.7368270166496,127.051131281408 37.7368382392214,127.051466222133 37.7372367739468,127.051420909355 37.7373358992416,127.051401107337 37.7374124895911,127.051211122494 37.737475637562,127.050357607788 37.7377643038657,127.049518261865 37.7380439485508,127.047995507837 37.7385423433132,127.047944449349 37.7385333538614,127.047899057771 37.7385153525118,127.047870688045 37.7385041016594,127.047842308471 37.7384770839362,127.04785350001 37.7382315668625,127.047887017808 37.737404919193,127.047945731808 37.7360534497956,127.048966768894 37.7360755660162,127.049800621916 37.7361022552737,127.050033287125 37.7362530709516)))"
10008,젊음의거리_2,41150,의정부시,20,34,87,56.9,"MULTIPOLYGON(((127.048137406317 37.7386774316731,127.051205573859 37.7376603375283,127.051750007378 37.7374776608688,127.05194002701 37.7374663174456,127.052376821549 37.7374886533337,127.052382541922 37.7375584755683,127.052343064813 37.7378941017267,127.052244634871 37.7391194550924,127.052548124197 37.7391283333436,127.05264740682 37.7391463094677,127.052749734409 37.7394661070292,127.052758341423 37.7396080050586,127.052747108279 37.7397701834161,127.052690413067 37.7398152562985,127.052213899414 37.7397974435443,127.052211215619 37.7400204332023,127.052172112075 37.7409056467543,127.052163929321 37.7413831609089,127.052155427884 37.7413944266149,127.052688673108 37.7414032052757,127.052680409654 37.7417590894085,127.052660763197 37.7420609206752,127.052130346584 37.7420476358559,127.05212202348 37.7423201808353,127.052091531566 37.7433585540373,127.052069168761 37.7438405789031,127.052026683106 37.7439306934741,127.051552772856 37.7436065495117,127.05118686924 37.7436067047385,127.049595567175 37.7435352895563,127.048234045294 37.7435020526787,127.048247980379 37.7431101281745,127.048284525705 37.7425898073843,127.047873225979 37.7425606890789,127.04738251375 37.7425428624081,127.047306076538 37.7427793950731,127.046840849528 37.7426939839707,127.04699364191 37.7420835223039,127.046619195415 37.7420160944063,127.046284471435 37.7419689218627,127.046332579862 37.7417864584398,127.046508028585 37.7411151736283,127.04651363839 37.7410115606794,127.046601332634 37.7406286175627,127.046924605981 37.7405136202059,127.047423723027 37.740385038929,127.047777404801 37.7390064257606,127.047814137202 37.7387834227493,127.048137406317 37.7386774316731)))"
10009,송우리시외버스터미널_1,41650,포천시,20,26,100,66.7,"MULTIPOLYGON(((127.144516261151 37.8266660293971,127.144510560135 37.8266547744546,127.145236792622 37.8262867525833,127.145053266602 37.8253635030442,127.144680933077 37.8251837666943,127.144893395072 37.8249222325006,127.146629582515 37.8255395070967,127.147328946097 37.8259575841477,127.149178767416 37.8280004328247,127.149862069311 37.8288870084434,127.150215017455 37.8292964948374,127.150439890899 37.8295619904474,127.150667828097 37.8299378480015,127.150117146214 37.8300534158024,127.149103181342 37.8299691018848,127.148208376795 37.8298283214059,127.147701695551 37.8292185589249,127.147249025823 37.828633503415,127.14684789766 37.8282623579431,127.14640444288 37.8280264056313,127.146020795547 37.8278782207765,127.145398424732 37.8276312223919,127.145020155114 37.8273253615104,127.144516261151 37.8266660293971)))"
